[ 2025-06-20 18:49:54,686 ] 18 root - INFO - Initiate the data ingestion
[ 2025-06-20 18:50:00,859 ] 61 root - INFO - Performed train test split on dataframe
[ 2025-06-20 18:50:00,859 ] 62 root - INFO - Exited split_data_as_train_test method successfully
[ 2025-06-20 18:50:00,859 ] 67 root - INFO - Exporting train and test filrd path.
[ 2025-06-20 18:50:01,046 ] 76 root - INFO - Exported train and test file path successfully
[ 2025-06-20 18:50:01,046 ] 20 root - INFO - Data Initiation Completed
[ 2025-06-20 18:50:01,060 ] 24 root - INFO - Initiate the data Validation
[ 2025-06-20 18:50:01,160 ] 31 root - INFO - Number of columns in the schema: 2
[ 2025-06-20 18:50:01,160 ] 32 root - INFO - Dataframe columns:32
[ 2025-06-20 18:50:01,176 ] 31 root - INFO - Number of columns in the schema: 2
[ 2025-06-20 18:50:01,176 ] 32 root - INFO - Dataframe columns:32
[ 2025-06-20 18:50:01,176 ] 26 root - INFO - data Validation Completed
